Product Name	Associated Patent(s)	Table Number
4820i Handheld Scanner	11763112; 9104930; 11042793; 8915444; 8296754; 8317105; 8162218; 8281993; 8596542; 8479992; 8914788; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176 7997489; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7568628; 7416125; 7296749	1
4850dr Document Imager	11763112; 10331929; 10296770; 10049250; 9990520; 9785815; 9569652; 9477867; 9390596; 9298964; 9224025; 9224024; 9210294; 9104934; 9104930; 8915444; 8914788; 8630491; 8628015; 8490877; 8479992; 7934660; 7883013; 7852519; 7770799; 7699227; 7296749; 7090132	1
4OXLL Oxygen Sensor	10955377; 9874540; 9322801	1
4OXV Oxygen Sensor	10996189; 10955377; 8888978; 8747636; 8083914; 7794779	1
5 FW Series Proximity Sensors	8619435	1
500 Series Temperature Probe	7360947	1
5000 Engine	9104930; 8915444; 8717494; 8646692; 8511572; 8479992; 8256680; 7918397; 7770799; 7705288; 7699227; 7568628; 7416125	1
501XP Series Printer	8842143; 8842142	1
5080 Engine	10296770; 9990520; 9104930; 8915444; 8646692; 8628015; 8511572; 8479992; 8210436; 7770799; 7699227; 7568628; 7416125	1
5100 Engine	9104930; 8915444; 8717494; 8646692; 8511572; 8479992; 8256680; 7918397; 7770799; 7699227; 7568628; 7416125	1
5180 Engine	10296770; 9990520; 9104930; 8915444; 8646692; 8628015; 8511572; 8479992; 8210436; 7770799; 7699227; 7568628; 7416125	1
5300 Engine	9104930; 8915444; 8717494; 8479992; 8256680; 7918397; 7770799; 7699227; 7568628; 7416125	1
5380 Engine	8210436	1
601XP Series Printer	8842143; 8842142	1
6DF Series IMU	9185822; 8862419	1
7 Series Carbon Monoxide Sensor	10386325	1
